LoopID : 0; InstanceID : 0; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	0;	256;	24744;	0;	2048;	22952;	0;	25000;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 85; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 86; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 87; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 88; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 89; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d85; SUBSD 0x30(%RCX,%RDX,1),%XMM6                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d8b; SUBSD 0x38(%RCX,%RDX,1),%XMM7                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d91; MOVSD %XMM0,(%RCX,%RSI,1)                         ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d96; MOVSD %XMM1,0x8(%RCX,%RSI,1)                      ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d9c; MOVSD %XMM2,0x10(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da2; MOVSD %XMM3,0x18(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da8; MOVSD %XMM4,0x20(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dae; MOVSD %XMM5,0x28(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402db4; MOVSD %XMM6,0x30(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402dba; MOVSD %XMM7,0x38(%RCX,%RSI,1)                     ;	store;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	550447.000;	0.000;	49553.000;	3416.000;	0.000;	46137.000;	46137.000;	0.000;	0.000
Sum(Column) / LoopCount:	22935.292;	0.000;	2064.708;	142.333;	0.000;	1922.375;	1922.375;	0.000;	0.000

LoopID : 0; InstanceID : 90; LoopCount : 25000; NbInsns : 24

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d30; MOVSD (%RCX,%RSI,1),%XMM0                         ;	load;	l;	0x402d30;	216;	0;	24784;	1624;	0;	23160;	23160;	0;	0
0x402d38; MOVSD 0x8(%RCX,%RSI,1),%XMM1                      ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d3e; MOVSD 0x10(%RCX,%RSI,1),%XMM2                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d44; MOVSD 0x18(%RCX,%RSI,1),%XMM3                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d4a; MOVSD 0x20(%RCX,%RSI,1),%XMM4                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d50; MOVSD 0x28(%RCX,%RSI,1),%XMM5                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d56; MOVSD 0x30(%RCX,%RSI,1),%XMM6                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d5c; MOVSD 0x38(%RCX,%RSI,1),%XMM7                     ;	load;	f;	0x402d30;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d62; SUBSD (%RCX,%RDX,1),%XMM0                         ;	load;	f;	0x402d79;	24999;	0;	1;	0;	0;	1;	1;	0;	0
0x402d67; SUBSD 0x8(%RCX,%RDX,1),%XMM1                      ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d6d; SUBSD 0x10(%RCX,%RDX,1),%XMM2                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d73; SUBSD 0x18(%RCX,%RDX,1),%XMM3                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
0x402d79; SUBSD 0x20(%RCX,%RDX,1),%XMM4                     ;	load;	l;	0x402d79;	232;	0;	24768;	1792;	0;	22976;	22976;	0;	0
0x402d7f; SUBSD 0x28(%RCX,%RDX,1),%XMM5                     ;	load;	f;	0x402d79;	25000;	0;	0;	0;	0;	0;	0;	0;	0
